ID,Name,Latitude,Longitude,Elevation
29272586,Esgair Garthen,52.2644524,-3.7229113,N/A
29273710,Carn Gafallt,52.2701438,-3.5546285,466
29274561,Rhiw Gwraidd,52.2633694,-3.43261,N/A
29274634,Llandegley Rocks,52.2478581,-3.2735586,N/A
29274639,Nyth Grûg,52.2379615,-3.2162193,N/A
29274640,N/A,52.2247915,-3.2014281,478
29274641,Rhos Fawr,52.2670193,-3.199855,660
29274652,Fron Hill,52.2409457,-3.1829085,523
29274666,Great Creigiau,52.2641105,-3.1770022,640
29274667,Bâch Hill,52.2653916,-3.1533194,610
29274676,Rushock Hill,52.2279269,-3.0394297,N/A
29274768,Camlo Hill,52.3171419,-3.4051215,N/A
29274780,Bryn Yr Hyrdded,52.3032015,-3.7390826,N/A
29274781,Cnapyn Drawsffos,52.3217356,-3.7111674,N/A
29274792,Bryn Garw,52.3283442,-3.6918162,N/A
29276019,Mynydd Bach,52.3203051,-3.8944057,N/A
29276145,Pool Hill,52.3698592,-3.2106157,N/A
29276146,Tulkey Hill,52.3774668,-3.2618278,N/A
29276185,Garn,52.3503643,-3.4415884,N/A
29277982,Bow Hill,50.8963824,-0.8284111,206
29278153,Halnaker Hill,50.8790425,-0.6935308,128
29278163,Levin Down,50.9177787,-0.7413781,170
29278165,Court Hill,50.9179939,-0.7214553,188
29278178,Linch Down,50.9495453,-0.7941078,248
29278194,Treyford Hill,50.9528629,-0.8218665,236
29295670,N/A,53.7088054,-2.4027735,N/A
29295671,Grey Stone Hill,53.6852283,-2.4105084,N/A
29295673,Cartridge Hill,53.6745117,-2.50029,402
29295675,Winter Hill,53.706344,-2.5016395,276
29295676,Darwen Hill,53.6897918,-2.48821,372
29295682,Counting Hill,53.6231902,-2.498963,433
29295683,Souls Hill,53.659828,-2.4826346,394
29296073,Turton Heights,53.6465015,-2.4423655,343
29296100,Whimberry Hill,53.6210128,-2.475609,340
29296301,Old Man's Hill,53.6615523,-2.5051422,307
29335474,Darrach Hill,56.0216576,-4.0007673,356
29337519,Garreg Lwyd,52.348616,-3.5542824,N/A
29338791,Bryn Titley,52.3707692,-3.5678118,N/A
29338861,Esgar Dernol,52.3699668,-3.6112607,N/A
29338863,Cerig Cochoin,52.3365036,-3.5644858,N/A
29338927,Blaen-Y-Clawdd-Du,52.3633869,-3.6503838,N/A
29338955,Glan Fedwen,52.3700847,-3.6702582,N/A
29339155,N/A,52.3487542,-3.6266998,N/A
29339358,Geifas,52.3407512,-3.7342115,N/A
29339495,Banc Yr Wyn-Isaf,52.3520204,-3.7358274,N/A
29339496,Domen Milwyn,52.3328956,-3.7498726,N/A
29340248,Drummarnock,56.0601241,-4.0138104,276
29341237,Cyrnau Bach,52.3587925,-3.8382194,N/A
29343816,Benarty Hill,56.166041,-3.3642423,356
29344214,Knock Hill,56.1273867,-3.5247963,364
29344246,Dumglow,56.1523388,-3.4890121,379
29344445,Cult Hill,56.1492846,-3.5680543,264
29345271,Skaylock Hill,54.7998567,-1.9509225,N/A
29345279,Weather Law,54.7723233,-1.9538158,N/A
29345298,Fatherley Hill Currick,54.750602,-1.9659907,N/A
29345919,Dumyat,56.1574791,-3.876252,418
29345920,Loss Hill,56.1784508,-3.8820913,415
29345922,Myreton Hill,56.1625126,-3.8389986,387
29345923,Colsnaur Hill,56.172897,-3.8361406,558
29345925,Bengengie Hill,56.1807057,-3.8230101,564
29345926,Craig Leith,56.1632991,-3.815406,512
29345980,The Nebit,56.1673646,-3.7918352,438
29346007,The Law,56.1768873,-3.7568652,638
29346012,King's Seat Hill,56.1805469,-3.7192711,648
29346056,Grodwell Hill,56.1970333,-3.750016,571
29346105,Kirk Craigs,56.1648145,-3.7433068,385
29346198,Scad Hill,56.2001137,-3.7122822,585
29346205,Whitewisp Hill,56.1934408,-3.6854035,643
29346218,Bank Hill,56.1736631,-3.6858463,343
29346451,Commonedge Hill,56.1952756,-3.6447271,469
29346452,Seamab Hill,56.1970669,-3.6237203,440
29363193,N/A,53.6844652,-2.4321699,N/A
29363239,N/A,53.6673583,-2.4362399,N/A
29417640,Car Top,53.2875718,-1.5779154,N/A
29419093,Pike Lowe,53.4726201,-1.686549,N/A
29419262,Margery Hill,53.4576845,-1.716694,546
29419294,Bleaklow Stones,53.4633598,-1.8279051,630
29441473,Drosgol,52.4742629,-3.8276181,550
29442012,Mynydd Bychan,52.5142973,-3.8036442,481
29442014,Bryn Moel,52.5047427,-3.8093434,490
29442019,Carn Hyddgen,52.5018535,-3.7797919,564
29442027,N/A,52.517483,-3.8212172,N/A
29442051,N/A,52.5226441,-3.7702526,N/A
29442188,Banc Bugeilyn,52.5173471,-3.7311244,551
29442233,Foel Isaf,52.5098436,-3.7555916,N/A
29442240,Foel Uchaf,52.5055264,-3.7652092,565
29442507,Fedw Ddu,52.5123126,-3.6847185,N/A
29442634,Pumlumon Fawr,52.4669157,-3.7830404,752
29442636,Y Garn,52.4505541,-3.8031085,684
29442713,Bryn Glas,52.4268677,-3.8111257,521
29457183,Rombald's Moor,53.9030693,-1.8270048,402.3
29458933,N/A,53.8972255,-1.8872107,N/A
29517101,Beacon Fell,53.8802471,-2.6582573,266
29517109,Parlick,53.8997645,-2.6167269,432
29517111,Fair Snape Fell,53.919631,-2.6146836,520
29517114,Paddy's Pole,53.9155818,-2.6238833,510
29517180,Burnslack Fell,53.9150223,-2.5766264,N/A
29532664,Simon Fell,54.1718498,-2.3773587,650
29532666,Blea Moor,54.238438,-2.3503226,534.3
29532667,Wold Fell,54.2602883,-2.3235841,N/A
29532668,Great Knoutberry Hill,54.2796205,-2.3261494,N/A
29533300,Tarn Rigg Hill,54.3198152,-2.4000091,678
29535848,Wild Boar Fell,54.384369,-2.3741915,708
